CPU Name,CPU Amount,CPU Warranty,RAM Name,RAM Amount,RAM Warranty,Main Name,Main Amount,Main Warranty,Storage Name,Storage Amount,Storage Warranty,GPU Name,GPU Amount,GPU Warranty,Case Name,Case Amount,Case Warranty,Cooler Name,Cooler Amount,Cooler Warranty,Price,Link,CPU Spec
CPU Intel Core i5-12400F,1.0,36.0,Ram Desktop Adata XPG Spectrix D41 RGB Grey (AX4U32008G16A-ST41) 8GB (1x8GB) DDR4 3200Mhz,2,60.0,Mainboard Asus TUF GAMING B660M-PLUS WIFI D4,1,36.0,Ổ cứng SSD Kingston SNV2S 500GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3500MB/s - Ghi 2100MB/s) - (SNV2S/500G),1,36.0,Card màn hình Gigabyte RTX 3060 GAMING OC 12GD-V2,1,36.0,Vỏ Case  Gaming Hawk F1 BLACK,1,0.0,Tản Nhiệt CPU ID-COOLING SE-224-XT ARGB V3,1,24.0,20699000,https://hacom.vn/hacom-shark-s40-i5-12400f-rtx-3060, i5-12400F
"Bộ vi xử lý
 
AMD Ryzen 5 7530U (6 x 2.00 GHz) - Max. Boost Clock up to 4.50 GHz",1.0,12.0,"Bộ nhớ trong
 
1 x 8GB DDR4/ 3200MHz (2 slots) (RAM Laptop)",1,12.0,,0,0.0,"Ổ cứng
 
512GB PCIe NVMe SSD",1,12.0,,0,0.0,,0,0.0,,0,0.0,18499000,https://hacom.vn/pc-dell-inspiron-all-in-one-5415-r5-7530u-8gb-ram-512gb-ssd-23.8-inch-fhd-camera-bt-kb-m-win-11-office-den-862tc,"Bộ vi xử lý
 
AMD Ryzen 5 7530U (6 x 2.00 GHz) - Max. Boost Clock up to 4.50 GHz"
CPU: Intel Core i7-12700,1.0,36.0,Ram: 8GB,1,36.0,,0,0.0,Ổ cứng: 512GB SSD,1,36.0,,0,0.0,,0,0.0,,0,0.0,33799000,https://hacom.vn/workstation-dell-precision-3660-tower-i7-12700-8gb-ram-512gb-ssd-dvdrw-t400-4gb-k-m-42pt3660d12, i7-12700
Dòng CPU Core i3,1.0,12.0,Chipset Intel Q670 ['BỘ NHỚ RAM'],1,12.0,,0,0.0,Card tích hợp VGA onboard ['Ổ CỨNG'],1,12.0,Card đồ họa Intel UHD Graphics 770,1,12.0,Kiểu dáng Case đứng to,1,12.0,,0,0.0,11899000,https://hacom.vn/pc-hp-pro-tower-400-g9-i3-13100-8gb-ram-512g-ssd-wl-bt-k-m-win11-9h1t1pt, i3
CPU: Intel Core i7-12700,1.0,36.0,Ram: 16GB,1,36.0,,0,0.0,Ổ cứng: 256GB SSD + 1TB HDD,1,36.0,,0,0.0,,0,0.0,,0,0.0,34499000,https://hacom.vn/workstation-dell-precision-3660-tower-i7-12700-16gb-ram-256gb-ssd-1tb-dvdrw-t400-4gb-k-m-300w-psu-ubuntu-71010146, i7-12700
CPU: Intel Core i5-1235U,1.0,24.0,Ram: 8GB,1,24.0,,0,0.0,Ổ cứng: 512GB SSD,1,24.0,,0,0.0,,0,0.0,,0,0.0,18999000,https://hacom.vn/pc-asus-all-in-one-a3402wbat-wa013w-i5-1235u-8gb-ram-512gb-ssd-23.8-fhd-cam-ung-wl-bt-k-m-win-11-trang, i5-1235U
CPU Intel Core i7-14700K,1.0,36.0,Ram Desktop Corsair Vengeance RGB Heatspreader (CMH32GX5M2B5600C40K) 32GB (2x16GB) DDR5 5600MHz,1,36.0,Mainboard Gigabyte Z790 AORUS ELITE,1,36.0,Ổ cứng SSD Kingston SNV2S 1TB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3500MB/s - Ghi 2100MB/s) - (SNV2S/1000G),1,36.0,Card màn hình Gigabyte RTX 4070 EAGLE OC V2-12GD,1,36.0,Vỏ Case  Corsair 4000D Airflow TG Black (Mid Tower/Màu Đen),1,24.0,TẢN NHIỆT NƯỚC NZXT KRAKEN ELITE 360,1,72.0,56899000,https://hacom.vn/hacom-apollo-i09-i7-14700k-z790-32g-ram-rtx-4070-850w, i7-14700K
Bộ VXL : Intel Pentium G6405,1.0,36.0,Bộ nhớ Ram : 8GB DRR4,1,36.0,Bo mạch chủ : H510,1,36.0,Ổ cứng : 500GB SSD,1,36.0,,0,0.0,,0,0.0,,0,0.0,5999000,https://hacom.vn/pc-hacom-business-mini-h24-v2-g6405-h510-8gb-ram-500gb,Bộ VXL : Intel Pentium G6405
Được trang bị bộ vi xử lý Intel Xeon E-2300-series có hỗ trợ TDP lên tới 95 W,1.0,36.0,Tối đa 2 khe cắm PCIe® 4.0 và 1 khe cắm độc quyền PCIe® 3.0 để tăng băng thông cao hơn,1,36.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,63899000,https://hacom.vn/server-asus-rs300-e11-e-2324g-16gd4-4tb-7200-4-c252-2-x-intel-lan-pike-3008-8i-450w-2-nos-den-90sf01y1-m009u0,Được trang bị bộ vi xử lý Intel Xeon E-2300-series có hỗ trợ TDP lên tới 95 W
"CPU Intel Core i3-1215U ( Upto 4.40 GHz, 6 nhân, 8 luồng, 10MB)",1.0,12.0,"RAM 8GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB)",1,12.0,,0,0.0,"Ổ cứng 512GB PCIe NVMe M.2 SSD (Còn trống 1 khe 3.5"")",1,12.0,Card đồ họa Intel UHD Graphics,1,12.0,,0,0.0,,0,0.0,14399000,https://hacom.vn/pc-hp-all-in-one-200-pro-g4-i3-1215u-8gb-ram-512gb-ssd-21.5-inch-fhd-wl-bt-k-m-win-11-74s23pa," i3-1215U ( Upto 4.40 GHz, 6 nhân, 8 luồng, 10MB)"
Processor Type Intel® Core™ i7-1360P Processor,1.0,36.0,Memory Technology ‎DDR4,1,36.0,,0,0.0,"M.2 Card Slot (storage) 1 x M.2 2280 PCIe Gen4x4, supports 128GB~8TB NVMe™  SSD1 x 2.5"" SATA 6Gb/s, supports 4TB 7~15mm HDD1 x M.2 2242 SATA supports 256GB~1TB SSD",1,36.0,"M.2 Card Slot (storage) 1 x M.2 2280 PCIe Gen4x4, supports 128GB~8TB NVMe™  SSD1 x 2.5"" SATA 6Gb/s, supports 4TB 7~15mm HDD1 x M.2 2242 SATA supports 256GB~1TB SSD",1,36.0,,0,0.0,,0,0.0,16799000,https://hacom.vn/bo-mini-pc-asus-intel-nuc13-pro-tall-nuc13anhi7-i7-1360p-2xddr4-3200-3xnvme-sata-2x-hdmi-2.1-2x-dp-1.4a-vesa-mount-90ab3anh-mr8100,™ i7-1360P Processor
Bộ VXL : Intel Core i5 12400,1.0,36.0,Bộ nhớ Ram : 8GB DRR4,1,36.0,Bo mạch chủ : H610,1,36.0,Ổ cứng : 500GB SSD,1,36.0,,0,0.0,,0,0.0,,0,0.0,10199000,https://hacom.vn/pc-hacom-business-mini-v6-i5-12400-h610-8gb-ram-500gb-ssd, i5 12400
CPU Intel Core i3-12100F,1.0,36.0,Ram Desktop Adata XPG Spectrix D41 RGB Grey (AX4U32008G16A-ST41) 8GB (1x8GB) DDR4 3200Mhz,1,60.0,Mainboard Asus PRIME H610M-K D4,1,36.0,Ổ cứng SSD Kingston SNV2S 250GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3000MB/s - Ghi 1300MB/s) - (SNV2S/250G),1,36.0,Card màn hình Asus TUF GTX 1660 Super O6G Gaming,1,36.0,Vỏ Case VITRA CRYSTAL S1 BLACK M-ATX  (Mini Tower/Màu Đen),1,12.0,TẢN NHIỆT KHÍ JONSBO CR-1200 ( KÈM SẴN BACKPLATE 1700 JONSBO ),1,12.0,12799000,https://hacom.vn/hacom-ares-i3-12100f-gtx-1650-1-2-3-4, i3-12100F
"CPU
 
1.4 GHz 64-bit processor
Compatible with x64 instruction set
Supports NX and DEP
Supports CMPXCHG16b, LAHF/SAHF, and PrefetchW
Supports Second Level Address Translation (EPT or NPT)",1.0,,"CPU
 
1.4 GHz 64-bit processor
Compatible with x64 instruction set
Supports NX and DEP
Supports CMPXCHG16b, LAHF/SAHF, and PrefetchW
Supports Second Level Address Translation (EPT or NPT)",1,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,17499000,https://hacom.vn/he-dieu-hanh-microsoft-windows-server-standard-2019-64bit-english-1pk-dsp-oei-dvd-16-core-p73-07788,"CPU
 
1.4 GHz 64-bit processor
Compatible with x64 instruction set
Supports NX and DEP
Supports CMPXCHG16b, LAHF/SAHF, and PrefetchW
Supports Second Level Address Translation (EPT or NPT)"
CPU: Intel Xeon W3-2423,1.0,36.0,Ram: 1x 16GB,1,36.0,,0,0.0,Ổ cứng: 512GB SSD + 1TB HDD,1,36.0,,0,0.0,,0,0.0,,0,0.0,60399000,https://hacom.vn/workstation-dell-precision-5860-tower-xeon-w3-2423-16gb-ram-512gb-ssd-1tb-hdd-dvdrw-nvidia-t400-4-gb-k-m-windows-11-pro-42pt586002,CPU: Intel Xeon W3-2423
CPU Intel Core i5-12400F,1.0,36.0,Ram Desktop Adata XPG Spectrix D50 RGB Grey (AX4U32008G16A-ST50) 8GB (1x8GB) DDR4 3200Mhz,2,60.0,Mainboard ASUS TUF GAMING B760M-PLUS D4,1,36.0,Ổ cứng SSD Kingston SNV2S 500GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3500MB/s - Ghi 2100MB/s) - (SNV2S/500G),1,36.0,Card màn hình Asus DUAL RTX 4060-O8G,1,36.0,Vỏ Case DARKFLASH E330M BLACK NO FAN (mAtx/Mid Tower/Màu Đen),1,12.0,Vỏ Case DARKFLASH E330M BLACK NO FAN (mAtx/Mid Tower/Màu Đen),1,12.0,20899000,https://hacom.vn/hacom-sniper-i5-12400f-rtx-4060-2, i5-12400F
CPU Intel Core i7-14700K,1.0,36.0,MAINBOARD ASUS PROART Z790-CREATOR WIFI DDR5,1,36.0,MAINBOARD ASUS PROART Z790-CREATOR WIFI DDR5,1,36.0,Ổ cứng SSD Samsung 990 PRO 2TB PCIe NVMe 4.0x4 (Đọc 7450MB/s - Ghi 6900MB/s) - (MZ-V9P2T0BW),1,60.0,Card màn hình Asus ProArt RTX 4070 Ti O12G,1,36.0,Vỏ Case Asus PA602 ProArt (eATX/Full Tower/ Màu Đen),1,24.0,TẢN NHIỆT NƯỚC ASUS PROART LC420,1,72.0,79999000,https://hacom.vn/hacom-x-asus-proart-apollo-i10-i7-14700k-rtx-4070-ti, i7-14700K
Dòng CPU Core i7,1.0,12.0,Chipset Intel H470 ['BỘ NHỚ RAM'],1,12.0,,0,0.0,Card tích hợp VGA onboard ['Ổ CỨNG'],1,12.0,Card đồ họa Intel UHD Graphics 770,1,12.0,Kiểu dáng Case đứng nhỏ,1,12.0,,0,0.0,17999000,https://hacom.vn/pc-hp-280-pro-sff-g9-9h9c7pt-i7-12700-8gb-ram-512gb-ssd-wl-bt-k-m-win11, i7
CPU : INTEL i7-14700F,1.0,,RAM : 16GB (2x8GB) DDR5,1,,,0,0.0,SSD : 500GB SSD,1,,VGA: RTX 4060 Ti,1,,,0,0.0,,0,0.0,37699000,https://hacom.vn/hacom-apollo-i07-i7-14700f-rtx-4060-ti,CPU : INTEL i7-14700F
Processor Type Intel® Core™ i5-1340P Processor,1.0,36.0,Memory Technology ‎DDR4,1,36.0,,0,0.0,"M.2 Card Slot (storage) 1 x M.2 2280 PCIe Gen4x4, supports 128GB~8TB NVMe™  SSD1 x 2.5"" SATA 6Gb/s, supports 4TB 7~15mm HDD1 x M.2 2242 SATA supports 256GB~1TB SSD",1,36.0,"M.2 Card Slot (storage) 1 x M.2 2280 PCIe Gen4x4, supports 128GB~8TB NVMe™  SSD1 x 2.5"" SATA 6Gb/s, supports 4TB 7~15mm HDD1 x M.2 2242 SATA supports 256GB~1TB SSD",1,36.0,,0,0.0,,0,0.0,12899000,https://hacom.vn/bo-mini-pc-asus-intel-nuc13-pro-tall-nuc13anhi5-i5-1340p-2xddr4-3200-3xnvme-sata-2x-hdmi-2.1-2x-dp-1.4a-vesa-mount-90ab3anh-mr6160,™ i5-1340P Processor
CPU : Intel core i7 12700K,1.0,,RAM : 32GB DDR4,1,,,0,0.0,SSD : 500GB,1,,VGA : RTX 3070 Ti,1,,,0,0.0,TẢN NHIỆT NƯỚC CUSTOM,1,,57999000,https://hacom.vn/hacom-poseidon-i7-12700k-rtx-3070-ti-1,CPU : Intel core i7 12700K
"Bộ vi xử lý
 
Intel® Core™ i5-12400, 6C (6P + 0E) / 12T, P-core 2.5 / 4.4GHz, 18MB",1.0,12.0,"Bộ nhớ trong
 
1x 4GB UDIMM DDR4-3200, Two DDR4 UDIMM slots, dual-channel capable, Up to 64GB DDR4-3200",1,12.0,,0,0.0,"Chuẩn ổ cứng
 
256GB SSD M.2 2280 PCIe® 4.0x4 NVMe® Opal 2.0
Up to two drives, 1x 3.5"" HDD + 1x M.2 SSD • 3.5"" HDD up to 2TB • M.2 SSD up to 1TB",1,12.0,"iGPU
 
Intel® UHD Graphics 730",1,12.0,,0,0.0,,0,0.0,11499000,https://hacom.vn/pc-lenovo-thinkcentre-neo-50s-gen-3-i5-12400-4gb-ram-256gb-ssd-wl-bt-k-m-no-os-11t000axva,"™ i5-12400, 6C (6P + 0E) / 12T, P-core 2.5 / 4.4GHz, 18MB"
Bộ VXL : Intel Core i9 13900,1.0,36.0,Bộ nhớ Ram : 16GB DRR4,1,36.0,Bo mạch chủ : B760,1,36.0,Ổ cứng : 500GB SSD,1,36.0,,0,0.0,,0,0.0,,0,0.0,21499000,https://hacom.vn/pc-hacom-business-i9139-16s5-v2-i9-13900-b760-16gb-ram-500gb, i9 13900
Bộ VXL : Intel Core i3 12100,1.0,36.0,Bộ nhớ Ram : 16GB DRR4,1,36.0,Bo mạch chủ : H610,1,36.0,Ổ cứng : 256GB SSD,1,36.0,,0,0.0,,0,0.0,,0,0.0,7499000,https://hacom.vn/pc-hacom-business-mini-p46-v2-i3-12100-h610-16gb-ram-256gb, i3 12100
CPU: Intel Core i3-13100,1.0,12.0,Ram: 8GB,1,12.0,,0,0.0,Ổ cứng: 512GB SSD,1,12.0,,0,0.0,,0,0.0,,0,0.0,11399000,https://hacom.vn/pc-dell-vostro-3020sff-i3-13100-8gb-ram-512gb-ssd-wl-bt-k-m-win11-sffi32004w1-8g-512g, i3-13100
CPU Intel Core i7-13700F,1.0,36.0,Ram Desktop Adata XPG Spectrix D50 RGB White (AX4U32008G16A-SW50) 8GB (1x8GB) DDR4 3200Mhz,2,60.0,Mainboard ASROCK B760M Pro RS/D4 WiFi,1,36.0,Ổ cứng SSD Kingston SNV2S 500GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3500MB/s - Ghi 2100MB/s) - (SNV2S/500G),1,36.0,Card màn hình Gigabyte RTX 4060 Ti AERO OC-8GD,1,36.0,Vỏ Case Centaur Titan White(MATX/ Màu Trắng),1,12.0,TẢN NHIỆT NƯỚC  ID-COOLING ZOOMFLOW 240-XT SNOW,1,24.0,31699000,https://hacom.vn/hacom-apollo-i7-13700f-rtx-4060-ti-pcgm735, i7-13700F
"Bộ vi xử lý
 
Intel Core i7 13700 – thế hệ 13 mới nhất",1.0,12.0,"Bộ nhớ trong
 
16GB DDR4 3200Mhz (1*16GB)",1,12.0,,0,0.0,"Ổ cứng
 
256GB PCIe NVMe SSD + 1TB HDD 7200rpm",1,12.0,"VGA
 
Nvidia Geforce RTX 3050 8G DDR6",1,12.0,,0,0.0,,0,0.0,33399000,https://hacom.vn/pc-dell-inspiron-3020-i7-13700-16gb-ram-512gb-ssd-1tb-rtx-3050-8g-wl-bt-k-m-win11-mti71028w1-16g-512g-1t, i7 13700 – thế hệ 13 mới nhất
CPU : INTEL i7-14700K,1.0,,RAM : 16GB (2x8GB) DDR4,1,,,0,0.0,SSD : 500GB SSD,1,,VGA: RTX 3060,1,,,0,0.0,,0,0.0,28799000,https://hacom.vn/hacom-apollo-i07-i7-14700f-rtx-3060,CPU : INTEL i7-14700K
"Bộ vi xử lý
 
Intel Xeon E-2314",1.0,36.0,"Bộ nhớ
 
8GB DDR4",1,36.0,,0,0.0,"Ổ cứng HDD
 
1TB",1,36.0,,0,0.0,,0,0.0,,0,0.0,29299000,https://hacom.vn/server-dell-poweredge-t150-xeon-e-2314-8gb-ram-1tb-hdd-idrac9-express-15g-broadcom-5720-dual-port-1gb-lom-dvdrw-300w-42svrdt150-01a,"Bộ vi xử lý
 
Intel Xeon E-2314"
Bộ vi xử lý Core i3-12100,1.0,12.0,Bộ nhớ trong 8GB DDR4 3200MHz,1,12.0,,0,0.0,Ổ cứng 256 GB PCIe® NVMe™ M.2 SSD,1,12.0,,0,0.0,,0,0.0,,0,0.0,9399000,https://hacom.vn/pc-hp-s01-pf2034d-i3-12100-8gb-ram-256gb-ssd-wl-bt-k-m-win-11-6l605pa, i3-12100
CPU: Intel Core i5-1135G7,1.0,24.0,Ram: 8GB,1,24.0,,0,0.0,Ổ cứng: 512GB SSD,1,24.0,,0,0.0,,0,0.0,,0,0.0,14999000,https://hacom.vn/pc-asus-all-in-one-v241eak-wa209w-i5-1135g7-8gb-ram-512gb-ssd-23.8-fhd-wl-bt-k-m-win-11-trang, i5-1135G7
CPU: Intel Core i3-12100,1.0,24.0,RAM: 4GB,1,24.0,,0,0.0,Ổ cứng: 256GB SSD,1,24.0,,0,0.0,,0,0.0,,0,0.0,11599000,https://hacom.vn/pc-asus-s500sd-312100029w-i3-12100-4gb-ram-256gb-ssd-wl-bt-k-m-win-11-90pf0392-m00su0, i3-12100
"Bộ vi xử lý
 
Intel® Core™ i3-13100 – CPU Gen 13 mới nhất",1.0,24.0,"Bộ nhớ trong
 
8GB DDR4 (1*8GB)",1,24.0,,0,0.0,"Ổ cứng
 
256GB M2 PCIe SSD (khả năng lưu trữ + 1x 2.5” HDD)",1,24.0,,0,0.0,,0,0.0,,0,0.0,12999000,https://hacom.vn/pc-msi-pro-dp21-i3-13100-8gb-ram-256gb-ssd-wl-bt-k-m-tpm2.0-dos-den-13m-654xvn-b3131008gs25xxah1,™ i3-13100 – CPU Gen 13 mới nhất
CPU Intel Core i3-13100F,1.0,36.0,Mainboard Gigabyte H610M H V2 DDR4,1,36.0,Mainboard Gigabyte H610M H V2 DDR4,1,36.0,Ổ cứng SSD Kingston SNV2S 250GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3000MB/s - Ghi 1300MB/s) - (SNV2S/250G),1,36.0,Card màn hình Nvidia T400 4GB (90SKC000-M70AN0) (Asus Server Accessory),1,36.0,Vỏ Case máy tính HACOM BUSINESS  (Mini Tower/Màu Đen/USB 3.0),1,,,0,0.0,10799000,https://hacom.vn/pc-hacom-cad-c120-i3-13100f-h610-16gb-ram-250gb-ssd-t400-4gb-450w, i3-13100F
CPU Intel Core i5-13400F (Tray),1.0,36.0,Ram Desktop Adata XPG Spectrix D50 RGB White (AX4U32008G16A-SW50) 8GB (1x8GB) DDR4 3200Mhz,2,60.0,Mainboard ASROCK B760M Pro RS/D4 WiFi,1,36.0,Ổ cứng SSD Kingston SNV2S 500GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3500MB/s - Ghi 2100MB/s) - (SNV2S/500G),1,36.0,Card màn hình Colorful iGame RTX 3060 Ultra W OC 12G L-V,1,36.0,Vỏ Case MIK MORAX 3FA WHITE  (Mini Tower/ Màu Đen/ 3 fan),1,25.0,Vỏ Case MIK MORAX 3FA WHITE  (Mini Tower/ Màu Đen/ 3 fan),1,25.0,22299000,https://hacom.vn/hacom-sniper-s24-i5-13400f-rtx-3060, i5-13400F (Tray)
Dòng CPU Core i7,1.0,12.0,Chipset Intel H670 ['BỘ NHỚ RAM'],1,12.0,,0,0.0,Card tích hợp VGA onboard ['Ổ CỨNG'],1,12.0,Card đồ họa Intel UHD Graphics 770,1,12.0,Kiểu dáng Case đứng nhỏ,1,12.0,,0,0.0,18999000,https://hacom.vn/pc-hp-280-pro-g9-sff-9h1t3pt-i7-13700-16gb-ram-512gb-ssd-wl-bt-k-m-win-11, i7
CPU Intel Core i5-12400F,1.0,36.0,Ram Desktop Kingston Fury Beast (KF432C16BB1/16/KF432C16BB/16) 16GB (1x16GB) DDR4 3200Mhz,1,36.0,Mainboard Asus Prime B760M-K D4,1,36.0,Ổ cứng SSD Kingston SNV2S 500GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3500MB/s - Ghi 2100MB/s) - (SNV2S/500G),1,36.0,Card màn hình Nvidia T400 4GB (90SKC000-M70AN0) (Asus Server Accessory),1,36.0,Vỏ case máy tính DarkFlash A290 (Mid Tower/ Màu Đen),1,,,0,0.0,13299000,https://hacom.vn/pc-hacom-cad-c111-i5-12400f-b760-16gb-ram-500gb-ssd-t400-4gb-500w, i5-12400F
CPU : Intel i5-13400F,1.0,,RAM : 8GB DDR4,1,,,0,0.0,SSD : 250GB,1,,,0,0.0,,0,0.0,,0,0.0,17399000,https://hacom.vn/hacom-sniper-s26-pink-i5-13400f-gtx-1660-super,CPU : Intel i5-13400F
CPU: Intel Core i5-11400,1.0,36.0,Main: H510 2 khe ram,1,36.0,,0,0.0,Ổ cứng: 256GB SSD,1,36.0,,0,0.0,,0,0.0,,0,0.0,7599000,https://hacom.vn/pc-hacom-business-mini-v2-i5-11400-h510-8gb-ram-256gb-ssd, i5-11400
